name	sensor	event	print_ID	time	frame	height	length	lat	lon	east	north
20240814004A	RGB	1	NA	2024-08-14 05:14:26.8	4342	77.3	NA	-21.0463047772084	55.1811138476753	310999.964902532	7671650.06849242
20240814004A	RGB	1	NA	2024-08-14 05:14:11.6	3882	77.4	NA	-21.046120323578	55.1811591713072	311004.442760727	7671670.54400181
202408140018A	TIR	1	1	2024-08-14 07:08:55	19991	67.7	NA	-21.0508560062207	55.1976419740935	312723.518783693	7671165.68453642
202408140018A	TIR	1	2	2024-08-14 07:08:55	19991	67.7	NA	-21.0510336109188	55.1974518434874	312703.980413634	7671145.79778389
202408140019A	TIR	1	1	2024-08-14 07:08:55	19991	67.7	NA	-21.0508669302874	55.1977094719423	312730.547638535	7671164.55437748
202408140019A	TIR	1	2	2024-08-14 07:08:55	19991	67.7	NA	-21.051076050555	55.1975724374708	312716.567082618	7671141.24078726
202408140018A	RGB	1	NA	2024-08-14 07:08:40.8	19564	67.8	NA	-21.0508182238419	55.1977404895848	312733.710414753	7671169.98331447
202408140018A	RGB	1	NA	2024-08-14 07:08:19.4	18923	68	NA	-21.0506400899266	55.1979094623118	312751.049203446	7671189.90376729
202408140019A	RGB	1	NA	2024-08-14 07:08:46.8	19744	67.8	NA	-21.0509037712525	55.1978454987099	312744.731265784	7671160.63534097
202408140019A	RGB	1	NA	2024-08-14 07:08:24.4	19071	67.8	NA	-21.0507137853686	55.1979438662528	312754.717084866	7671181.78503713
20240805002A	TIR	1	1	2024-08-05 11:42:14.3	15594	70.3	NA	-21.2099314384849	55.2785719267932	321325.396711822	7653647.11295229
20240805002A	TIR	1	2	2024-08-05 11:42:14.3	15594	70.3	NA	-21.2100349125002	55.2786442101634	321333.025554592	7653635.73866644
20240805002A	RGB	1	NA	2024-08-05 11:42:04.9	15309	70.8	NA	-21.2101245896759	55.2787235448447	321341.369829471	7653625.8998208
20240805002A	RGB	1	NA	2024-08-05 11:41:55.3	15021	71.1	NA	-21.2100717866768	55.2785980402265	321328.27669303	7653631.60411392
