name	time	frame	height	yaw	pitch	roll	lat	lon	east	north	zone.number	zone.letter	image_x	image_y	start_east	start_north	end_east	end_north	heading	project	length	flukeprint_width	fluke_span	body_length	age_class
20240726012A	06:36.7	9401	51.8	21.1	-89.9	0	-21.04585558	55.20945126	313944.6625	7671733.128	40	K	1504.655	747.92	313946.4061	7671732.991	313942.9188	7671733.265	-85.50876637	Jul-26th-2024-12-52PM-Flight-Airdata	3.49805061	NA	3.49805061	NA	adult
20240726012A	06:28.1	9146	46.1	21.1	-84.9	0	-21.04581201	55.20941933	313941.2901	7671737.914	40	K	1460.92	798.32	313940.1786	7671732.798	313942.4017	7671743.03	12.25962471	Jul-26th-2024-12-52PM-Flight-Airdata	10.46988186	NA	NA	10.46988186	adult
20240726012A	05:14.3	6935	93.8	21.1	-90	0	-21.04574323	55.20954285	313954.0423	7671745.674	40	K	1443.71	621.955	313954.8432	7671744.2	313953.2414	7671747.148	-28.52066448	Jul-26th-2024-12-52PM-Flight-Airdata	3.354766939	NA	3.354766939	NA	adult
20240726012A	05:15.5	6966	93.8	21.1	-90	0	-21.04574554	55.2095374	313953.4789	7671745.411	40	K	1436.17	539.27	313954.7258	7671744.257	313952.232	7671746.565	-47.21949146	Jul-26th-2024-12-52PM-Flight-Airdata	3.397829943	NA	3.397829943	NA	adult
20240726012A	06:13.3	8700	44.9	21.1	-90	0	-21.04567348	55.2094004	313939.1505	7671753.23	40	K	1478.215	560.98	313940.6584	7671752.58	313937.6426	7671753.88	-66.66841302	Jul-26th-2024-12-52PM-Flight-Airdata	3.284336305	NA	3.284336305	NA	adult
20240726012A	06:15.5	8764	44.7	21.1	-90	0	-21.04569039	55.20941754	313940.9522	7671751.377	40	K	1489.065	585.745	313942.3987	7671750.506	313939.5057	7671752.248	-58.9524896	Jul-26th-2024-12-52PM-Flight-Airdata	3.376840246	NA	3.376840246	NA	adult
20240726012A	06:23.7	9010	46.5	21.1	-90	0	-21.04573548	55.2094283	313942.1265	7671746.398	40	K	1392.57	501.685	313943.8302	7671746.205	313940.4228	7671746.591	-83.53837464	Jul-26th-2024-12-52PM-Flight-Airdata	3.429128438	NA	3.429128438	NA	adult
20240729001A	00:04.2	5878	90.1	323.9	-89.9	0	-21.0093525	55.20954219	313908.7828	7675774.618	40	K	450.24	691.05	313910.1702	7675775.562	313907.3954	7675773.675	-124.2200892	Jul-29th-2024-03-56PM-Flight-Airdata	NA	3.355710766	NA	NA	adult
20240729001A	59:09.2	4234	90.2	316	-89.9	0	-21.01062526	55.2095301	313909.1058	7675633.692	40	K	541.04	883.36	313910.4986	7675634.645	313907.7131	7675632.739	-124.3866301	Jul-29th-2024-03-56PM-Flight-Airdata	NA	3.375410657	NA	NA	adult
20240729001A	59:13.2	4350	90.3	316	-89.9	0	-21.0104644	55.20947322	313902.9924	7675651.436	40	K	455.46	641.845	313904.4333	7675652.418	313901.5515	7675650.454	-124.2661255	Jul-29th-2024-03-56PM-Flight-Airdata	NA	3.486986103	NA	NA	adult
