name,time,frame,height,yaw,pitch,roll,lat,lon,east,north,zone.number,zone.letter,image_x,image_y,start_east,start_north,end_east,end_north,heading,project,length,flukeprint_width,fluke_span,body_length,age_class
20240724004A,2024-07-24 06:10:16.800000,1015,77,329.7,-32.4,0,-21.050416366261,55.1647404325257,309303.413043094,7671175.35525795,40,K,1380.605,600.07,309302.105198226,7671173.88986898,309304.720887961,7671176.82064693,41.7485898003252,Jul-24th-2024-10-09AM-Flight-Airdata,3.928268342931,NA,3.928268342931,NA,adult
20240724004A,2024-07-24 06:10:18.400000,1058,77.4,329.7,-32.4,0,-21.0503457904464,55.1649524150355,309325.355247029,7671183.42267649,40,K,1595.835,632.96,309323.767258589,7671182.23211734,309326.943235469,7671184.61323564,53.1400833532105,Jul-24th-2024-10-09AM-Flight-Airdata,3.9694525469747,NA,3.9694525469747,NA,adult
20240724003A,2024-07-24 06:10:14.600000,950,77.1,344.9,-32.4,0,-21.0502467301481,55.1651410236398,309344.831843252,7671194.61579311,40,K,1363.665,470.69,309343.495181019,7671200.370925,309346.168505485,7671188.86066123,166.924546982099,Jul-24th-2024-10-09AM-Flight-Airdata,11.8166338551528,NA,NA,11.8166338551528,adult
20240724003A,2024-07-24 06:10:44.800000,1853,85.7,334.8,-52.8,0,-21.0501131267012,55.1642450421878,309251.538778811,7671208.33601237,40,K,1391.985,587.03,309249.935290439,7671214.04957568,309253.142267183,7671202.62244905,164.323440046616,Jul-24th-2024-10-09AM-Flight-Airdata,11.8686108246574,NA,NA,11.8686108246574,adult
20240724003A,2024-07-24 06:10:47.800000,1941,89,334.8,-52.8,0,-21.0501034917927,55.1642545635026,309252.516086008,7671209.41414171,40,K,1395.27,600.505,309250.7832815,7671214.98171924,309254.248890516,7671203.84656419,162.712222143317,Jul-24th-2024-10-09AM-Flight-Airdata,11.6619948536317,NA,NA,11.6619948536317,adult
20240724004A,2024-07-24 06:11:03.800000,2420,90.5,333.7,-51,0,-21.0501542554372,55.1642111449197,309248.068125682,7671203.74185076,40,K,1332.35,681.165,309245.033176256,7671208.82984006,309251.103075109,7671198.65386145,149.184224187233,Jul-24th-2024-10-09AM-Flight-Airdata,11.8488063919513,NA,NA,11.8488063919513,adult
20240724004A,2024-07-24 06:11:07.200000,2525,90.6,323.7,-51,0,-21.0499713175947,55.1641451478601,309240.975610749,7671223.91699897,40,K,1298.985,613.175,309238.552500516,7671229.32745092,309243.398720982,7671218.50654702,155.874431692669,Jul-24th-2024-10-09AM-Flight-Airdata,11.8565515257244,NA,NA,11.8565515257244,adult
20240724002A,2024-07-24 06:10:39.400000,1690,85.3,331.4,-37.2,0,-21.0501055694333,55.1644801739482,309275.96731477,7671209.45404217,40,K,1441.65,694.51,309274.920051949,7671208.94757405,309277.01457759,7671209.96051029,64.1910651879527,Jul-24th-2024-10-09AM-Flight-Airdata,2.32660213356866,NA,2.32660213356866,NA,adult
20240724002A,2024-07-24 06:10:39.400000,1693,85.3,331.4,-37.2,0,-21.0500997404052,55.1644790210556,309275.840061452,7671210.09802857,40,K,1441.625,690.385,309274.785553956,7671209.49518143,309276.894568948,7671210.7008757,60.2440025136408,Jul-24th-2024-10-09AM-Flight-Airdata,2.42932972531408,NA,2.42932972531408,NA,adult
20240724002A,2024-07-24 06:10:40.400000,1718,85.1,331.4,-37.2,0,-21.0496693079563,55.1642809116315,309254.701161343,7671257.51669366,40,K,1442.48,503.23,309253.407451242,7671256.96723361,309255.994871445,7671258.0661537,66.9882669941052,Jul-24th-2024-10-09AM-Flight-Airdata,2.81111519995247,NA,2.81111519995247,NA,adult
20240724010A,2024-07-24 07:16:22.100000,5097,62.3,1.7,-57.1,0,-21.006393954284,55.1861279714836,311470.903243026,7676074.71271448,40,K,279.22,618.64,311472.353960983,7676073.98308654,311469.452525069,7676075.44234242,-63.3002263005585,Jul-24th-2024-11-13AM-Flight-Airdata,NA,3.24773122198703,NA,NA,adult
20240724010A,2024-07-24 07:16:29.300000,5312,62.4,1.7,-85.7,0,-21.0062246993077,55.1861793601775,311476.033059225,7676093.51231365,40,K,405.415,319.115,311477.47441139,7676092.29152474,311474.591707061,7676094.73310256,-49.7362425422426,Jul-24th-2024-11-13AM-Flight-Airdata,NA,3.77773563653399,NA,NA,adult
20240724010A,2024-07-24 07:16:25.900000,5210,62.4,1.7,-71.4,0,-21.0062167767369,55.1861679212334,311474.833869553,7676094.3759555,40,K,389.465,410.495,311476.322838361,7676093.31008508,311473.344900745,7676095.44182592,-54.4032196141664,Jul-24th-2024-11-13AM-Flight-Airdata,NA,3.6622986539719,NA,NA,adult
20240724011A,2024-07-24 07:16:24.700000,5171,62.2,1.7,-71.4,0,-21.0063479761508,55.1862048614444,311478.839195118,7676079.89389823,40,K,426.45,524.36,311480.259139735,7676079.06959265,311477.4192505,7676080.71820381,-59.8639979744855,Jul-24th-2024-11-13AM-Flight-Airdata,NA,3.28373105313061,NA,NA,adult
20240724011A,2024-07-24 07:16:21.100000,5067,62.3,1.7,-51,0,-21.006571011721,55.1861266288076,311470.986193285,7676055.10833545,40,K,197.995,866.68,311472.687563983,7676054.62573725,311469.284822587,7676055.59093365,-74.163874759215,Jul-24th-2024-11-13AM-Flight-Airdata,NA,3.53698361774938,NA,NA,adult
20240724011A,2024-07-24 07:16:24.900000,5179,62.3,1.7,-71.4,0,-21.0063184141765,55.1862236509199,311480.755459041,7676083.18900689,40,K,469.97,487.375,311482.328040158,7676082.48115802,311479.182877923,7676083.89685575,-65.7665779985916,Jul-24th-2024-11-13AM-Flight-Airdata,NA,3.44909344115133,NA,NA,adult
